0,92,67
1,91,68
2,88,73
3,88,73
4,93,66
5,88,73
6,93,67
7,93,66
8,93,66
9,92,67
10,91,64
11,92,65
12,92,65
13,94,68
14,94,68
15,92,61
16,94,61
17,95,62
18,94,61
19,95,59
20,95,59
21,95,58
22,95,56
23,97,56
24,98,56
25,98,56
26,100,55
27,99,54
28,100,54
29,100,53
30,100,53
31,98,61
32,99,61
33,99,61
34,99,61
35,102,54
36,102,54
37,99,61
38,99,61
39,100,54
40,97,62
41,98,54
42,96,55
43,92,55
44,93,63
45,85,59
46,84,61
47,79,61
48,77,62
49,82,67
50,80,67
51,80,68
52,80,69
53,64,72
54,55,68
55,54,69
56,80,70
57,81,70
58,82,70
59,83,71
60,84,71
61,85,71
62,85,71
63,86,70
64,85,70
65,85,70
66,85,69
67,66,70
68,69,71
69,84,69
70,84,69
71,65,66
72,69,65
73,80,68
74,70,62
75,69,57
76,71,56
77,73,54
78,76,52
79,79,52
80,81,51
81,84,49
82,87,48
83,91,46
84,95,46
85,96,47
86,100,46
87,104,47
88,106,46
89,109,47
90,104,59
91,105,59
92,117,48
93,117,47
94,108,59
95,108,59
96,108,59
97,108,59
98,107,59
99,114,49
100,112,51
101,111,52
102,107,53
103,103,54
104,98,61
105,97,53
106,94,54
107,92,54
108,89,53
109,86,51
110,84,51
111,83,51
112,81,49
113,81,50
114,80,50
115,80,48
116,79,48
117,79,48
118,78,48
119,77,48
120,78,48
121,77,49
122,78,49
123,78,49
124,78,49
125,78,49
126,77,50
127,77,49
128,77,49
129,77,49
130,76,49
131,76,49
132,76,48
133,76,49
134,76,49
135,77,49
136,77,49
137,81,57
138,77,47
139,82,57
140,80,48
141,80,48
142,81,49
143,84,56
144,83,49
145,85,56
146,85,49
147,85,49
148,85,49
149,85,54
150,85,49
151,85,49
152,84,48
153,85,49
154,84,48
155,84,48
156,84,48
157,85,49
158,85,49
159,84,48
160,85,49
161,85,54
162,85,54
163,86,55
164,84,52
165,85,52
166,86,53
167,86,54
168,86,55
169,87,56
170,87,55
171,87,59
172,87,58
173,88,58
174,88,58
175,89,61
176,88,61
177,89,59
178,89,59
179,90,61
180,90,61
181,90,60
182,92,59
183,93,59
184,93,60
185,93,58
186,97,61
187,96,59
188,97,59
189,98,60
190,106,66
191,100,61
192,110,71
193,111,71
194,103,65
195,104,66
196,106,67
197,108,68
198,109,69
199,111,70
200,109,71
201,110,71
202,112,72
203,113,71
204,109,71
205,110,70
206,110,68
207,111,66
208,111,64
209,106,62
210,103,60
211,98,57
212,94,56
213,109,57
214,104,55
215,98,56
216,90,53
217,84,53
218,79,53
219,73,53
220,70,52
221,69,54
222,66,54
223,64,55
224,61,56
225,61,55
226,61,57
227,63,56
228,64,57
229,67,60
230,70,64
231,74,64
232,78,65
233,68,66
234,71,66
235,73,66
236,75,66
237,77,67
238,79,67
239,98,68
240,82,67
241,82,67
242,83,67
243,84,67
244,84,67
245,103,64
246,101,66
247,102,65
248,99,62
249,98,61
250,96,62
251,94,62
252,93,61
253,92,61
254,91,59
255,89,58
256,88,58
